profileId,product,tier,executionState,strengthClassification,availabilityRatioDiagnostic,tierDeltaHypothesis,purchaseIntentHypothesis,assessmentRows,customerValueCredit,realCustomerCredit,externalReviewCredit
shield--pro,shield,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.487421,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield-map--advanced,shield-map,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.091195,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield-map--basic,shield-map,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_INTERNAL_REFERENCE_COVERAGE,0.757862,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
shield-map--pro,shield-map,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.201258,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield-pro--advanced,shield-pro,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.292453,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield-pro--basic,shield-pro,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_INTERNAL_REFERENCE_COVERAGE,0.757862,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
shield-pro--pro,shield-pro,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.349057,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
whale-watch--advanced,whale-watch,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.267296,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
whale-watch--basic,whale-watch,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,PARTIAL_INTERNAL_REFERENCE_COVERAGE,0.72327,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
whale-watch--pro,whale-watch,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.471698,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
