status	path	before_bytes	before_sha256	after_bytes	after_sha256
ADDED	lib/market-integrity/public-proof-page-boundary.ts			2066	3fa01d05dd9173f68a3eb1d2b1a44a9ec8bb072d749d9f05c4121160290c3ab7
ADDED	lib/market-integrity/public-verify-record-view-model.ts			1759	033a8cfbdca37a1bdbbd8c28987bc1261c422479a3aade1a21bb61c624b06095
ADDED	scripts/current-execution/run-r6-local-current-execution-campaign.mjs			5704	1693d49d260f1159632b12dbffbb92578f46af81dfd2a2f20bd7b28109c02102
ADDED	scripts/r6/build-r6-deterministic-package.py			8718	fe6442876e7f6ff6901c4baa53430aa82e42094a35d397e91ad667284d01e9f9
ADDED	scripts/r6/build-r6-repeatability.py			2938	8e3280fb1e6413371fd571883e0ee0a98827928f6f8925a5cdec95719fc2477c
ADDED	scripts/r6/generate-r6-progress-artifacts.py			21696	b3723e8fba7e10b72e11483bc58ad133ef9734ce7302d3aafba0824de56414c9
ADDED	scripts/r6/generate-r6-source-delta.py			3525	5c054d3094b192b4f24e4b1214877254ca702845a2cbfa5f9a85463c093305cb
ADDED	scripts/r6/prepare-exact-pglite.py			7940	4baa9de66dca1813fbef4b91a40148041433c087e5a91d647e19654e0a7b1ebf
ADDED	scripts/r6/run-r6-isolated-current-execution-campaign.py			9571	9e210bf5ae2042ec8c98125b18454a03e08aaee7f9094d640d2503b8e5c097e0
ADDED	scripts/r6/validate-r6-artifacts.py			3030	fbe90113455de036597c3f48e8d9c35b84c0dee76a88263033130e2d491f88a4
ADDED	scripts/r6/verify-r6-exact-windows-workflow.py			2393	477ce21c0c577023d21fe77c2f57c044ed2181e10180e24379c22962550fcd8a
MODIFIED	app/proof/market-integrity/[publicProofId]/audit-trail/page.tsx	3327	55aeb83d95fac2203edfe64870a8bc3fb79bcab93e623a0fa007f358eb4e57b4	3060	3669d52bc4ccb63762e05b6ad1a6910b023de648123b9becfbb41fc4948210a8
MODIFIED	app/proof/market-integrity/[publicProofId]/page.tsx	1061	1e6d5e8de0baf34c81fadb3f2514774792b3fb4e3c45a6d4e7adda85d0a755eb	933	d529c5063a108012cb828ca019a6823e324fdd5eb4fe6a7d999101fe1b226a07
MODIFIED	app/proof/market-integrity/[publicProofId]/verify/page.tsx	1092	02d54acd5dbafeac6795797a0f12bb06ac148a62d356c802ff0ae07c5319870e	955	e78632a093f3668551e399aed85ae2374da20fa910aa50dacf95c927cc016386
MODIFIED	components/verify/PublicVerifyRecord.tsx	5846	b010eda14f9b0e3bd53acff78968e3555cdd0a377f6a30fabc72703e9756c9f3	5528	78176eeeb4a425cab71dc4f59c00679cbb87e428064e8cd2fea10b0b97c2e3e8
MODIFIED	config/pass4992-supply-chain-release-policy.json	4141	bd23e944f7ae475bbaee544c91c7d44a0fde789b20a68d48ba384b23f5424829	4192	01fb0832838bc006b07241b6db6b297d1e67d6c9b95af94e656decc1fd9d3463
MODIFIED	current-execution-out/EXACT_WINDOWS_SERVER_2025_IDENTITY.json	3654	197525c0b2b9dba357fad0a07ecef19ae0159341dc9023223d4486ab387aaa19	3654	6691f4d0b6f5b43fce0d8ea009813fbf4bb466874c83831db07b0b7c4948e4de
MODIFIED	lib/ai/angel-durable-memory.ts	8653	26e5bbf5eb4793dbf99aa79653b3dc1f72bdfb31f278c219174e8efc4d1fb54e	8770	6d3f5a7e50ac911c2633c382e3b14c8f9924d45f970f86e26af8b7269b9120a0
MODIFIED	lib/network/brokered-egress.ts	20737	f5e2cf8ba9b4ca56fef2203c8f201cfcdb2ea3cda415cb00579a126649d614a3	20747	5e4af019a7f2d329ab08e8d4a189843b0c07360d33fabc5ff9e7812c8f8e0942
MODIFIED	scripts/current-execution/test-angel-durable-memory-delete-fail-closed.mts	3673	23870db383879a3359f03359313426bd1ac9d45b5b6b8bee6d52f535a991a43b	5249	b6306e64cef115eb60d1c202cb10e273ba69874e1a2210697ffc1239775aac27
MODIFIED	scripts/current-execution/test-pass4992-current-workflow-policy.mjs	3943	0a6877f56797506d28a06c4104266a038a00fde3f11bfff74776fecfa7c132aa	3943	c41d254793f16e9b10a635c3621c754b6f460f29fa979cef3367d3ce604fbda1
MODIFIED	scripts/current-execution/test-public-proof-publication-boundary.ts	8319	806573778e70f22ddc692b9e039bb93202349adf1f28a70048976636b6e2c346	9860	6b93dea77116037fb88ba48cb13c5d1a04615e64afa63d6eaee92cb1055bb490
MODIFIED	scripts/current-execution/test-runtime-env-canonical-example.mjs	2887	fbe4e8ad6e19986ba50ca84f9bdb2a8439572e1355b37d86231429ca80deab7e	3572	64d9f5a0ba4755391eb6050b46b4400a219a18dc2f79ed4160321732254a60da
MODIFIED	scripts/current-execution/test-v4-verify-durable-registry-boundary.ts	18077	9ffee0b3bdf91bb7e59fd6f765b95a7143f69ed420d56e6aaa366a4954a65d31	18100	59333dac990f52e9259b9b817e4a36648825dff0b233f6321e98281cc440b144
MODIFIED	scripts/pass11/test-supabase-service-rest.ts	4162	900747fa76c06d01cdb57e3a2be1305f34ce2da1f4115293b5bb4f187bc38376	5734	30fa3aa6301605536c63b3a529f0738482ad4340dba6795ad82044f2fbb1c3e2
